id	composite_no
P431213	Q001336
P431214	Q001337
P431215	Q001248
P431216	Q001368
P431217	Q001370
P431218	Q001367
P431219	Q003668
P431220	Q001373
P431221	Q001372
P431222	Q001369
P431223	Q001374
P431224	Q003669
P431225	Q001376
P431226	Q001375
P431227	Q001250
P431228	Q001362
P431229	Q001363
P431230	Q001366
P431231	Q001365
P431232	Q001379
P431233	Q001381
P431234	Q001348
P431235	Q003673
P431236	Q004862
P431237	Q004863
P431881	Q000377a
P431882	Q000377b
P431883	Q001540
P431884	Q001541
P431885	Q001542
P431886	Q001543
P431887	Q001544
P431888	Q001545
P431889	Q001546
P431890	Q001547
P431891	Q001548
P431892	Q001549
P431893	Q005312
P431894	Q001551
P431895	Q001552
P431896	Q001553
P431897	Q001554
P431898	Q001555
P431899	Q001556
P431900	Q001557
P431901	Q001558
P431902	Q001559
P431903	Q001560
P431904	Q001561
P431905	Q001562
P431906	Q001563
P431907	Q001564
P431908	Q001565
P431909	Q005308
P431910	Q005310
P431911	Q001534
P431912	Q001535
P431913	Q005311
P431914	Q001538
P431915	Q005309
P431916	Q001459
P431917	Q001460
P431918	Q001461
P431919	Q001462
P431920	Q001463
P431921	Q001464
P431922	Q000881
P431923	Q000882
P431924	Q001465
P431925	Q000883
P431926	Q000884
P431927	Q001466
P431928	Q001467
P431929	Q001468
P431930	Q001469
P431931	Q001470
P431932	Q001471
P431933	Q001472
P431934	Q000885
P431935	Q000886
P431936	Q000887
P431937	Q000888
P431938	Q000889
P431939	Q000890
P431940	Q001473
P431941	Q000891
P431942	Q001474
P431943	Q000892
P431944	Q001475
P431945	Q001476
P431946	Q000893
P431947	Q001477
P431948	Q001478
P431949	Q001479
P431950	Q001480
P431951	Q001481
P431952	Q000894
P431953	Q000895
P431954	Q000896
P431955	Q000897
P431956	Q000898
P431957	Q000899
P431958	Q001482
P431959	Q001483
P431960	Q000900
P431961	Q000901
P431962	Q000902
P431963	Q001484
P431964	Q001485
P431965	Q000903
P431966	Q001486
P431967	Q000904
P431968	Q001487
P431969	Q000905
P431970	Q000906
P431971	Q000907
P431972	Q001488
P431973	Q001489
P431974	Q000909
P431975	Q000910
P431976	Q000911
P431977	Q000912
P431978	Q000913
P431979	Q000914
P431980	Q001490
P431981	Q001491
P431982	Q001492
P431983	Q000915
P431984	Q000916
P431985	Q001493
P431986	Q000917
P431987	Q001494
P431988	Q001495
P431989	Q000918
P431990	Q001496
P431991	Q003220
P431992	Q001497
P431993	Q001498
P431994	Q001499
P431995	Q001500
P431996	Q001501
P431997	Q001502
P431998	Q000919
P431999	Q000920
P432000	Q000921
P432002	Q000922
P432003	Q000923
P432004	Q001504
P432005	Q001505
P432006	Q001506
P432007	Q001507
P432008	Q000924
P432009	Q000925
P432010	Q001508
P432011	Q001509
P432012	Q001510
P432013	Q001511
P432014	Q001512
P432015	Q001513
P432016	Q000926
P432017	Q001514
P432018	Q001515
P432019	Q000927
P432020	Q001516
P432021	Q001517
P432022	Q001518
P432023	Q001519
P432024	Q001520
P432025	Q001521
P432026	Q001522
P432027	Q001523
P432028	Q001524
P432029	Q001525
P432030	Q001526
P432031	Q001527
P432032	Q001528
P432033	Q001529
P432034	Q001530
P432035	Q001531
P432036	Q001532
P432037	Q003228
P432038	Q001566
