id	composite_no
P461973	Q005199
P461974	Q005200
P461975	Q005201
P461976	Q005202
P461977	Q005205
P461978	Q005206
P461979	Q005207
P461980	Q000845
P461981	Q000846
P461982	Q000847
P461983	Q005209
P461984	Q000848
P461985	Q000849
P461986	Q005210
P461987	Q005211
P461988	Q005212
P461989	Q005213
P461990	Q001425
P461991	Q005214
P461992	Q005215
P461993	Q005216
P461994	Q001423
P461995	Q000850
P461996	Q000851
P461997	Q000852
P461998	Q005217
P461999	Q005218
P462000	Q005219
P462001	Q001426
P462002	Q005245
P462003	Q008850
P462004	Q008852
P462005	Q000859
P462006	Q005248
P462007	Q005249
P462008	Q008377
P462009	Q005250
P462010	Q005251
P462012	Q005253
P462013	Q005254
P462014	Q008379
P462015	Q001427
P462017	Q005255
P462018	Q005256
P462019	Q005220
P462020	Q000853
P462021	Q000854
P462022	Q005221
P462023	Q000855
P462024	Q005222
P462025	Q000856
P462026	Q005223
P462027	Q005224
P462028	Q000857
P462029	Q005225
P462030	Q005226
P462031	Q005227
P462032	Q001424
P462033	Q005228
P462034	Q005229
P462035	Q005230
P462036	Q005231
P462037	Q005232
P462038	Q005233
P462039	Q000858
P462040	Q005234
P462041	Q005235
P462042	Q005236
P462043	Q005237
P462044	Q005238
P462045	Q005239
P462046	Q005240
P462047	Q005241
P462048	Q005242
P462049	Q005243
P462050	Q005244
P462051	Q000860
P462052	Q000861
P462053	Q000862
P462054	Q008384
P462055	Q005257
P462056	Q005258
P462057	Q005259
P462058	Q000863
P462059	Q005260
P462060	Q005261
P462061	Q005262
P462063	Q000865
P462064	Q005263
P462065	Q005264
P462066	Q005265
P462067	Q005266
P462068	Q005267
P462069	Q001432
P462070	Q005268
P462071	Q000866
P462072	Q005269
P462073	Q005270
P462074	Q005271
P462075	Q005272
P462076	Q005273
P462077	Q005274
P462078	Q005275
P462079	Q000867
P462080	Q001433
P462081	Q001434
P462082	Q001435
P462083	Q005276
P462084	Q000868
P462085	Q005277
P462086	Q000869
P462087	Q000870
P462088	Q005278
P462089	Q005279
P462090	Q001436
P462091	Q000871
P462092	Q005280
P462093	Q001440
P462094	Q004105
P462095	Q008391
P462096	Q005283
P462097	Q005284
P462098	Q001444
P462099	Q001445
P462100	Q000872
P462101	Q000873
P462102	Q001446
P462103	Q001447
P462105	Q000875
P462106	Q001449
P462107	Q001450
P462108	Q001451
P462109	Q000876
P462110	Q001454
P462111	Q000877
P462112	Q001455
P462113	Q001456
P462114	Q001457
P462115	Q001458
P462116	Q005286
P462117	Q000879
P462120	Q005288
P462121	Q005289
P462122	Q005290
P462169	Q005344
P462170	Q005345
P462171	Q005346
P462172	Q005347
P462181	Q001244
P462182	Q001245
P462183	Q001251
P462184	Q001247
P462185	Q003640
P462199	Q001253
P462200	Q001322
P462201	Q004106
P462809	Q003475
P462810	Q003476
P462811	Q003477
P462812	Q003478
P462813	Q003479
P462814	Q003480
P462815	Q003481
P462816	Q003482
P462817	Q003483
P462818	Q003484
P462819	Q003485
P462820	Q003486
P462821	Q003487
P462822	Q003488
P462823	Q003489
P462824	Q003490
P462825	Q003491
P462826	Q003492
P462827	Q003493
P462828	Q003494
P462829	Q003495
P462830	Q003496
P462831	Q003497
P462832	Q003498
P462833	Q003499
P462834	Q003500
P462835	Q003501
P462836	Q003502
P462837	Q003503
P462838	Q003504
P462839	Q003505
P462840	Q003506
P462841	Q003507
P462842	Q003508
P462843	Q003509
P462844	Q003510
P462845	Q003511
P462846	Q003512
P462851	Q003230
P462852	Q003231
P462853	Q003232
P462854	Q003233
P462855	Q003234
P462856	Q003235
P462857	Q003236
P462858	Q003237
P462859	Q003238
P462860	Q003239
P462861	Q003240
P462862	Q003241
P462863	Q003242
P462864	Q003243
P462865	Q003244
P462866	Q003245
P462867	Q003246
P462868	Q003247
P462869	Q003248
P462870	Q003249
P462871	Q003250
P462872	Q003251
P462873	Q003252
P462874	Q003253
P462875	Q003254
P462876	Q003255
P462877	Q003256
P462878	Q003257
P462879	Q003258
P462880	Q003259
P462881	Q003260
P462882	Q003261
P462883	Q003262
P462884	Q003263
P462885	Q003264
P462886	Q003265
P462887	Q003266
P462888	Q003267
P462889	Q003268
P462890	Q003269
P462891	Q003270
P462892	Q003271
P462893	Q003272
P462894	Q003273
P462895	Q003274
P462896	Q003275
P462897	Q003276
P462898	Q003277
P462899	Q003278
P462900	Q003279
P462901	Q003280
P462902	Q003281
P462903	Q003282
P462904	Q003283
P462905	Q003284
P462906	Q003285
P462907	Q003286
P462908	Q003287
P462909	Q003288
P462910	Q003289
P462911	Q003290
P462912	Q003291
P462913	Q003292
P462914	Q003293
P462915	Q003294
P462916	Q003295
P462917	Q003296
P462918	Q003297
P462919	Q003298
P462920	Q003299
P462921	Q003300
P462922	Q003301
P462923	Q003302
P462924	Q003303
P462925	Q003304
P462926	Q003305
P462927	Q003306
P462928	Q003307
P462929	Q003308
P462930	Q003309
P462931	Q003310
P462932	Q003311
P462933	Q003312
P462934	Q003313
P462935	Q003314
P462936	Q003315
P462937	Q003316
P462938	Q003317
P462939	Q003318
P462940	Q003319
P462941	Q003320
P462942	Q003321
P462943	Q003322
P462944	Q003323
P462945	Q003324
P462946	Q003325
P462947	Q003326
P462948	Q003327
P462949	Q003328
P462950	Q003329
P462951	Q003330
P462952	Q003331
P462953	Q003332
P462954	Q003333
P462955	Q003334
P462956	Q003335
P462957	Q003336
P462958	Q003337
P462959	Q003338
P462960	Q003339
P462961	Q003340
P462962	Q003341
P462963	Q003342
P462964	Q003343
P462965	Q003345
P462966	Q003346
P462968	Q003348
P462969	Q003349
P462970	Q003350
P462971	Q003351
P462972	Q003352
P462973	Q003353
P462974	Q003354
P462975	Q003355
P462976	Q003356
P462977	Q003357
P462978	Q003358
P462979	Q003359
P462980	Q003360
P462981	Q003361
P462982	Q003362
P462983	Q003363
P462984	Q003364
P462985	Q003365
P462986	Q003366
P462987	Q003367
P462988	Q003368
P462989	Q003369
P462990	Q003370
P462991	Q003371
P462992	Q003372
P462993	Q003373
P462994	Q003374
P462995	Q003375
P462996	Q003376
P462997	Q003377
P462998	Q003378
P462999	Q003379
P463000	Q003380
P463001	Q003381
P463002	Q003382
P463003	Q003383
P463004	Q003384
P463005	Q003385
P463006	Q003386
P463007	Q003387
P463008	Q003388
P463009	Q003389
P463010	Q003390
P463011	Q003391
P463012	Q003392
P463013	Q003393
P463014	Q003394
P463015	Q003395
P463016	Q003396
P463017	Q003397
P463018	Q003398, Q003768
P463019	Q003399
P463020	Q003400
P463021	Q003401, Q003769
P463022	Q003402
P463023	Q003403
P463024	Q003404
P463025	Q003405
P463026	Q003406
P463027	Q003407
P463028	Q003409
P463029	Q003410
P463030	Q003411
P463031	Q003412
P463032	Q003622
P463033	Q003623
P463034	Q003624
P463035	Q003625
P463036	Q003626
P463037	Q003627
P463038	Q003628
P463039	Q003629
P463040	Q003630
P463041	Q003631
P463042	Q003632
P463043	Q003633
P463044	Q003634
P463045	Q003635
P463046	Q003636
P463047	Q003414
P463048	Q003416
P463049	Q003418
P463050	Q003420
P463051	Q003422
P463052	Q003423
P463053	Q003425
P463054	Q003426
P463055	Q003427
P463056	Q003430
P463057	Q003433
P463058	Q003435
P463059	Q003436
P463060	Q003438
P463061	Q003443
P463062	Q003446
P463063	Q003447
P463064	Q003448
P463065	Q003449
P463066	Q003450
P463067	Q003451
P463068	Q003452
P463069	Q003453
P463070	Q003454
P463071	Q003455
P463072	Q003456
P463073	Q003457
P463074	Q003458
P463075	Q003459
P463076	Q003460
P463077	Q003461
P463078	Q003462
P463079	Q003463
P463080	Q003464
P463081	Q003465
P463082	Q003466
P463083	Q003467
P463084	Q003470
P463085	Q003471
P463086	Q003472
P463087	Q003473
P463088	Q003474
P463089	Q003608
P463090	Q003609
P463091	Q004177
P463092	Q003610
P463093	Q003611
P463094	Q003612
P463095	Q003613
P463096	Q003614
P463097	Q003615
P463098	Q003616
P463099	Q003617
P463100	Q003618
P463101	Q003619
P463102	Q003620
P463103	Q003621
P463104	Q004178
P463116	Q004477
P463131	Q006673
P463132	Q006674
P463133	Q006675
P463134	Q006676
P463135	Q006677
P463143	Q006685
P463219	Q005617
P463220	Q006657
P463221	Q005618
P463222	Q005619
P463223	Q005620
P463224	Q005621
P463225	Q005622
P463226	Q005623
P463227	Q005624
P463228	Q005625
P463229	Q005626
P463230	Q005627
P463231	Q005628
P463232	Q005629
P463233	Q005630
P463234	Q005631
P463235	Q005632
P463236	Q005633
P463237	Q005634
P463238	Q005635
P463239	Q005636
P463240	Q005637
P463241	Q005638
P463242	Q005639
P463243	Q005640
P463244	Q005641
P463245	Q005642
P463247	Q005644
P463248	Q005645
P463249	Q005646
P463250	Q005647
P463251	Q005648
P463252	Q005649
P463253	Q005650
P463254	Q005651
P463255	Q005652
P463256	Q005653
P463257	Q005654
P463258	Q005655
P463259	Q005656
P463260	Q005657
P463261	Q005658
P463262	Q005659
P463263	Q005660
P463265	Q005682
P463266	Q006658
P463267	Q005683
P463268	Q005684
P463269	Q005685
P463270	Q005686
P463271	Q005687
P463272	Q005688
P463273	Q005689
P463274	Q005690
P463275	Q005691
P463276	Q005692
P463277	Q005693
P463278	Q005694
P463279	Q005695
P463280	Q005696
P463281	Q005697
P463282	Q005698
P463283	Q005699
P463284	Q005700
P463285	Q005701
P463286	Q005702
P463287	Q005703
P463288	Q005704
P463289	Q005705
P463290	Q005706
P463291	Q005707
P463292	Q005708
P463293	Q005709
P463294	Q005710
P463295	Q005711
P463296	Q005712
P463297	Q005713
P463298	Q005714
P463299	Q005715
P463300	Q005716
P463301	Q005717
P463302	Q005718
P463303	Q005719
P463304	Q005720
P463305	Q005721
P463306	Q005722
P463307	Q005723
P463308	Q005724
P463309	Q005725
P463310	Q005726
P463311	Q005727
P463312	Q005728
P463313	Q005729
P463314	Q005730
P463315	Q005731
P463316	Q005732
P463317	Q005733
P463318	Q005734
P463319	Q005735
P463320	Q005736
P463321	Q005737
P463322	Q005738
P463323	Q005739
P463324	Q005740
P463325	Q005741
P463326	Q005742
P463327	Q005743
P463328	Q005744
P463329	Q005745
P463330	Q005746
P463331	Q005747
P463332	Q005748
P463333	Q005749
P463334	Q005750
P463335	Q005751
P463336	Q005752
P463337	Q005753
P463338	Q005754
P463339	Q005755
P463340	Q005756
P463341	Q005757
P463342	Q005758
P463343	Q005759
P463344	Q005760
P463345	Q005761
P463346	Q005762
P463347	Q005763
P463348	Q005764
P463349	Q005765
P463350	Q005766
P463351	Q005767
P463352	Q005768
P463353	Q005769
P463354	Q005770
P463355	Q005771
P463356	Q005772
P463357	Q005773
P463358	Q005774
P463359	Q005775
P463360	Q005776
P463361	Q005777
P463362	Q005778
P463363	Q005779
P463364	Q005780
P463365	Q005781
P463366	Q005782
P463367	Q005783
P463368	Q005784
P463369	Q005785
P463370	Q005786
P463371	Q005787
P463372	Q005788
P463373	Q005789
P463374	Q005790
P463375	Q005791
P463376	Q005792
P463377	Q005793
P463378	Q005794
P463379	Q005795
P463380	Q005796
P463381	Q005797
P463382	Q005798
P463383	Q005799
P463384	Q005800
P463385	Q005801
P463386	Q005802
P463387	Q005803
P463388	Q005804
P463389	Q005805
P463390	Q005806
P463391	Q005807
P463392	Q005808
P463393	Q005809
P463394	Q005810
P463395	Q005811
P463396	Q005812
P463397	Q005813
P463398	Q005814
P463399	Q005815
P463400	Q005816
P463401	Q005817
P463402	Q005818
P463403	Q005819
P463404	Q005820
P463405	Q005821
P463406	Q005822
P463407	Q005823
P463408	Q005824
P463409	Q005825
P463410	Q005826
P463411	Q005827
P463412	Q005828
P463413	Q005829
P463414	Q005830
P463415	Q005831
P463416	Q005832
P463417	Q005833
P463418	Q005834
P463419	Q005835
P463420	Q005836
P463421	Q005837
P463422	Q005838
P463423	Q005839
P463424	Q005840
P463425	Q005841
P463426	Q005842
P463427	Q005843
P463428	Q005844
P463429	Q005845
P463430	Q005846
P463431	Q005847
P463432	Q005848
P463433	Q005849
P463434	Q005850
P463435	Q005851
P463436	Q005852
P463437	Q005853
P463438	Q005854
P463439	Q005855
P463440	Q005856
P463441	Q005857
P463442	Q005858
P463443	Q005859
P463444	Q005860
P463445	Q005861
P463446	Q005862
P463447	Q005863
P463448	Q005864
P463449	Q005865
P463450	Q005866
P463451	Q005867
P463452	Q005868
P463453	Q005869
P463454	Q005870
P463455	Q005871
P463456	Q005872
P463457	Q005873
P463458	Q005874
P463459	Q005875
P463460	Q005876
P463461	Q005877
P463462	Q005878
P463463	Q005879
P463464	Q005880
P463465	Q005881
P463466	Q005882
P463467	Q005883
P463468	Q005884
P463469	Q005885
P463470	Q005886
P463471	Q005887
P463472	Q005888
P463473	Q005889
P463474	Q005890
P463475	Q005891
P463476	Q005892
P463477	Q006659
P463478	Q005893
P463479	Q005894
P463480	Q005895
P463481	Q005896
P463482	Q005897
P463483	Q005898
P463484	Q005899
P463485	Q005900
P463486	Q005901
P463487	Q005902
P463488	Q005903
P463489	Q005904
P463490	Q005905
P463491	Q005906
P463492	Q005907
P463493	Q005908
P463494	Q005909
P463495	Q005910
P463496	Q005911
P463497	Q005912
P463498	Q005913
P463499	Q005914
P463500	Q005915
P463501	Q005916
P463502	Q005917
P463503	Q005918
P463504	Q005919
P463505	Q005920
P463509	Q005615
P463510	Q005926
P463511	Q005927
P463512	Q005928
P463513	Q005929
P463514	Q005930
P463515	Q005931
P463516	Q005932
P463517	Q005933
P463518	Q005934
P463519	Q005935
P463520	Q005936
P463521	Q005937
P463522	Q005938
P463523	Q005939
P463524	Q005940
P463525	Q005941
P463526	Q005942
P463527	Q005943
P463528	Q005944
P463529	Q005945
P463530	Q005946
P463531	Q005947
P463532	Q005948
P463533	Q005949
P463534	Q005950
P463535	Q005951
P463536	Q005952
P463537	Q005953
P463538	Q005954
P463539	Q005955
P463540	Q005956
P463541	Q005957
P463542	Q005958
P463543	Q005959
P463544	Q005960
P463545	Q005961
P463546	Q005962
P463547	Q005963
P463548	Q005964
P463549	Q005965
P463550	Q005966
P463551	Q005967
P463552	Q005968
P463553	Q005969
P463554	Q005970
P463555	Q005971
P463556	Q005972
P463557	Q005973
P463558	Q005974
P463559	Q005975
P463560	Q005976
P463561	Q005977
P463562	Q005978
P463563	Q005979
P463564	Q005980
P463565	Q005981
P463566	Q005982
P463567	Q005983
P463568	Q005984
P463569	Q005985
P463570	Q005986
P463571	Q005987
P463572	Q005988
P463573	Q005989
P463574	Q005990
P463575	Q005991
P463576	Q005992
P463577	Q005993
P463578	Q005994
P463579	Q005995
P463580	Q005996
P463581	Q005997
P463582	Q005998
P463583	Q005999
P463584	Q006000
P463585	Q006001
P463586	Q006002
P463587	Q006003
P463588	Q006004
P463589	Q006005
P463590	Q006006
P463591	Q006007
P463592	Q006008
P463593	Q006009
P463594	Q006010
P463595	Q006011
P463596	Q006012
P463597	Q006013
P463598	Q006014
P463599	Q006015
P463600	Q006016
P463601	Q006017
P463602	Q006018
P463603	Q006019
P463604	Q006020
P463605	Q006021
P463606	Q006022
P463607	Q006023
P463608	Q006024
P463609	Q006025
P463610	Q006026
P463611	Q006027
P463612	Q006028
P463613	Q006029
P463614	Q006030
P463615	Q006031
P463616	Q006032
P463617	Q006033
P463618	Q006034
P463619	Q006035
P463620	Q006036
P463621	Q006037
P463622	Q006038
P463623	Q006039
P463624	Q006040
P463625	Q006041
P463626	Q006042
P463627	Q006043
P463628	Q006044
P463629	Q006045
P463630	Q006046
P463631	Q006047
P463632	Q006048
P463633	Q006049
P463634	Q006050
P463635	Q006051
P463636	Q004455
P463637	Q004456
P463638	Q004457
P463639	Q004458
P463640	Q004459
P463641	Q004460
P463642	Q004461
P463643	Q004462
P463644	Q004463
P463645	Q004464
P463646	Q004465
P463647	Q004466
P463648	Q004467
P463649	Q004468
P463650	Q004469
P463651	Q004470
P463652	Q004471
P463653	Q004472
P463654	Q004473
P463655	Q004474
P463656	Q004475
P463657	Q004476
P463658	Q004478
P463659	Q004479
P463660	Q004480
P463661	Q004481
P463662	Q004482
P463663	Q004483
P463664	Q004484
P463665	Q004485
P463666	Q004486
P463667	Q004487
P463668	Q004488
P463669	Q004489
P463670	Q004490
P463671	Q004491
P463672	Q004492
P463673	Q004493
P463674	Q004494
P463675	Q004495
P463676	Q004496
P463677	Q004497
P463678	Q004498
P463679	Q004499
P463680	Q004500
P463681	Q004501
P463682	Q004502
P463683	Q004503
P463684	Q004504
P463685	Q004505
P463686	Q004506
P463687	Q004507
P463688	Q004508
P463689	Q004509
P463690	Q004510
P463691	Q004511
P463692	Q004512
P463693	Q004513
P463694	Q004514
P463695	Q004515
P463696	Q004516
P463697	Q004517
P463698	Q004518
P463699	Q004519
P463700	Q004520
P463701	Q004521
P463702	Q004522
P463703	Q004523
P463704	Q004524
P463705	Q004525
P463706	Q004526
P463707	Q004527
P463708	Q004528
P463709	Q004529
P463710	Q004530
P463711	Q004531
P463712	Q004532
P463713	Q004533
P463714	Q004534
P463715	Q004535
P463716	Q004536
P463717	Q004537
P463718	Q004538
P463719	Q004539
P463720	Q004540
P463721	Q004541
P463722	Q004542
P463723	Q004543
P463724	Q004544
P463725	Q004545
P463726	Q004546
P463727	Q004547
P463728	Q004548
P463729	Q004549
P463730	Q004550
P463731	Q004551
P463732	Q004552
P463733	Q004553
P463734	Q004554
P463735	Q004555
P463736	Q004556
P463737	Q004557
P463738	Q004558
P463739	Q004559
P463740	Q004560
P463741	Q004561
P463742	Q004562
P463743	Q004563
P463744	Q004564
P463745	Q004565
P463746	Q004566
P463747	Q004567
P463748	Q004568
P463749	Q004569
P463750	Q004570
P463751	Q004571
P463752	Q004572
P463753	Q004573
P463754	Q004574
P463755	Q004575
P463756	Q004576
P463757	Q004577
P463758	Q004578
P463759	Q004579
P463760	Q004580
P463761	Q004581
P463762	Q004582
P463763	Q004583
P463764	Q004584
P463765	Q004585
P463766	Q004586
P463767	Q004587
P463768	Q004588
P463769	Q004589
P463770	Q004590
P463771	Q004591
P463772	Q004592
P463773	Q004593
P463774	Q004594
P463775	Q004595
P463776	Q004596
P463777	Q004597
P463778	Q004598
P463779	Q004599
P463780	Q004600
P463781	Q004601
P463782	Q004602
P463783	Q004605
P463784	Q004606
P463785	Q004607
P463786	Q004608
P463787	Q004609
P463788	Q004610
P463789	Q004611
P463790	Q004612
P463791	Q004613
P463792	Q004614
P463793	Q004615
P463794	Q004616
P463795	Q004617
P463796	Q004618
P463797	Q004619
P463798	Q004620
P463799	Q004621
P463800	Q004622
P463801	Q004623
P463802	Q004624
P463803	Q004625
P463804	Q004626
P463805	Q004627
P463806	Q004628
P463807	Q004629
P463808	Q004630
P463809	Q004631
P463810	Q004632
P463811	Q004633
P463812	Q004634
P463813	Q004635
P463814	Q004636
P463815	Q004637
P463816	Q004638
P463817	Q004639
P463818	Q004640
P463819	Q004641
P463820	Q004642
P463821	Q004643
P463822	Q004644
P463823	Q004645
P463824	Q004646
P463825	Q004647
P463826	Q004648
P463827	Q004649
P463828	Q004650
P463829	Q004651
P463830	Q004652
P463831	Q004653
P463832	Q004654
P463833	Q004655
P463834	Q004656
P463835	Q004657
P463836	Q004658
P463837	Q004659
P463838	Q004660
P463839	Q004661
P463840	Q004662
P463841	Q004663
P463842	Q004664
P463843	Q004665
P463844	Q004666
P463845	Q004667
P463846	Q004668
P463847	Q004669
P463848	Q004670
P463849	Q004671
P463850	Q004672
P463851	Q004673
P463852	Q004674
P463853	Q004675
P463854	Q004676
P463855	Q004677
P463856	Q004678
P463857	Q004679
P463858	Q004680
P463859	Q004681
P463860	Q004682
P463861	Q004683
P463862	Q004684
P463863	Q004685
P463864	Q004686
P463865	Q004687
P463866	Q004688
P463867	Q004689
P463868	Q004690
P463869	Q004691
P463870	Q004692
P463871	Q004693
P463872	Q004694
P463873	Q004695
P463874	Q004696
P463875	Q004697
P463876	Q004698
P463877	Q004699
P463878	Q004700
P463879	Q004701
P463880	Q004702
P463881	Q004703
P463882	Q004704
P463883	Q004705
P463884	Q004706
P463885	Q004707
P463886	Q004708
P463887	Q004709
P463888	Q004710
P463889	Q004711
P463890	Q004712
P463891	Q004713
P463892	Q004714
P463893	Q004715
P463894	Q004716
P463895	Q004717
P463896	Q004718
P463897	Q004719
P463898	Q004720
P463899	Q004721
P463900	Q004722
P463901	Q004723
P463902	Q004724
P463903	Q004725
P463904	Q004726
P463905	Q004727
P463906	Q004728
P463907	Q004729
P463908	Q004730
P463909	Q004731
P463910	Q004732
P463911	Q004733
P463912	Q004734
P463913	Q004735
P463914	Q004736
P463915	Q004737
P463916	Q004738
P463917	Q004739
P463918	Q004740
P463919	Q004741
P463920	Q004742
P463921	Q004743
P463922	Q004744
P463923	Q004745
P463924	Q004746
P463925	Q004747
P463926	Q004748
P463927	Q004749
P463928	Q004750
P463929	Q004751
P463930	Q004752
P463931	Q004753
P463932	Q004754
P463933	Q004755
P463934	Q004756
P463935	Q004757
P463936	Q004758
P463937	Q004759
P463938	Q004760
P463939	Q004761
P463940	Q004762
P463941	Q004763
P463942	Q004764
P463943	Q004765
P463944	Q004766
P463945	Q004767
P463946	Q004768
P463947	Q004769
P463948	Q004778
P463949	Q004779
P463950	Q004780
P463951	Q004781
P463952	Q004782
P463953	Q004783
P463954	Q004784
P463955	Q004785
P463956	Q004786
P463957	Q004787
P463958	Q004790
P463959	Q004791
P463960	Q004792
P463961	Q004793
P463962	Q004794
P463963	Q006687
P463964	Q006688
P463965	Q006689
P463966	Q006690
P463967	Q006691
P463968	Q006692
P464118	Q000002
P464136	Q004870
P464202	Q001284
P464203	Q004871
P464204	Q004872
P464209	Q004250
P464210	Q004245
P464238	Q000754
P464240	Q000751
P464241	Q004836
P464242	Q004834
P464243	Q004812
P464244	Q004813
P464245	Q004814
P464246	Q004815
P464247	Q004816
P464248	Q004817
P464249	Q004857
P464250	Q004818
P464251	Q004819
P464252	Q004820
P464253	Q004821
P464254	Q004822
P464255	Q004823
P464256	Q004824
P464257	Q004825
P464258	Q004826
P464259	Q004827
P464260	Q004828
P464261	Q004829
P464262	Q004830
P464263	Q004831
P464264	Q004832
P464265	Q004809
P464266	Q004810
P464267	Q004833
P464268	Q004867
P464269	Q004811
P464270	Q004837
P464271	Q004869
P464272	Q004835
P464292	Q004246
P464303	Q004950
P464355	Q000613
P464358	Q006387
P464874	Q006672
P464878	Q006678
P464880	Q006679
P464881	Q006680
P464882	Q006681
P464883	Q006682
P464884	Q006683
P464885	Q006684
P465141	Q006439
P465341	Q006341
P465344	Q008907
P465365	Q000980
P465366	Q003670
P465367	Q003672
P465368	Q001441
P465369	Q001771
P465370	Q001777
P465371	Q001778
P465372	Q001779
P465373	Q001780
P465374	Q001781
P465375	Q001782
P465376	Q001783
P465377	Q001784
P465378	Q001785
P465379	Q001786
P465380	Q001787
P465381	Q001664
P465382	Q001669
P465383	Q001670
P465384	Q001671
P465385	Q001696
P465386	Q001713
P465387	Q001716
P465388	Q000993
P465389	Q000994
P465390	Q001814
P465391	Q001815
P465392	Q001850
P465394	Q000469 
P465395	Q001972
P465396	Q001990
P465397	Q001993
P465398	Q001811
P465863	Q005681
P467054	Q003513
P467055	Q003514
P467056	Q003515
P467057	Q003516
P467058	Q003517
P467059	Q003518
P467060	Q003519
P467061	Q003520
P467062	Q003521
P467063	Q003522
P467064	Q003523
P467065	Q003524
P467066	Q003525
P467067	Q003526
P467068	Q003527
P467069	Q003528
P467070	Q003529
P467071	Q003530
P467072	Q003531
P467073	Q003532
P467074	Q003533
P467075	Q003534
P467076	Q003535
P467077	Q003536
P467078	Q003537
P467079	Q003538
P467080	Q003539
P467081	Q003540
P467082	Q003541
P467083	Q003542
P467084	Q003543
P467085	Q003544
P467086	Q003545
P467087	Q003546
P467088	Q003547
P467089	Q003548
P467090	Q003549
P467091	Q003550
P467092	Q003551
P467093	Q003552
P467094	Q003553
P467095	Q003554
P467096	Q003555
P467097	Q003556
P467098	Q003557
P467099	Q003558
P467100	Q003559
P467101	Q003560
P467102	Q003561
P467103	Q003562
P467104	Q003563
P467105	Q003564
P467106	Q003565
P467107	Q003566
P467108	Q003567
P467109	Q003568
P467110	Q003569
P467111	Q003570
P467112	Q003571
P467113	Q003572
P467114	Q003573
P467115	Q003574
P467116	Q003575
P467117	Q003576
P467118	Q003577
P467119	Q003578
P467120	Q003579
P467121	Q003911
P467122	Q003912
P467123	Q003913
P467124	Q003914
P467125	Q003915
P467126	Q003916
P467127	Q003917
P467128	Q003918
P467129	Q003919
P467130	Q003920
P467131	Q003921
P467132	Q003922
P467133	Q003923
P467134	Q003924
P467135	Q003925
P467136	Q003926
P467137	Q003927
P467138	Q003928
P467139	Q003929
P467140	Q003930
P467141	Q003931
P467142	Q003932
P467143	Q003933
P467144	Q003934
P467145	Q003935
P467146	Q003936
P467147	Q003937
P467148	Q003938
P467149	Q003939
P467150	Q003940
P467151	Q003941
P467152	Q003942
P467153	Q003943
P467154	Q003944
P467155	Q003945
P467156	Q003946
P467157	Q003947
P467158	Q003948
P467159	Q003949
P467160	Q003950
P467161	Q003951
P467162	Q003952
P467163	Q003953
P467164	Q003954
P467165	Q003955
P467166	Q003956
P467167	Q003957
P467168	Q003958
P467169	Q003959
P467170	Q003960
P467171	Q003961
P467172	Q003962
P467173	Q003963
P467174	Q003964
P467175	Q003965
P467176	Q003966
P467177	Q003967
P467178	Q003968
P467179	Q003969
P467180	Q003970
P467181	Q003971
P467182	Q003972
P467183	Q003973
P467184	Q003974
P467185	Q003975
P467186	Q003976
P467187	Q003977
P467188	Q003978
P467189	Q003979
P467190	Q003980
P467191	Q003981
P467192	Q003982
P467193	Q003983
P467194	Q003984
P467195	Q003985
P467196	Q003986
P467197	Q003987
P467198	Q003988
P467199	Q003989
P467200	Q003990
P467201	Q003991
P467202	Q003992
P467203	Q003993
P467204	Q003994
P467205	Q003995
P467206	Q003996
P467207	Q003997
P467208	Q003998
P467209	Q003999
P467210	Q004000
P467211	Q004001
P467212	Q004002
P467213	Q004003
P467214	Q004004
P467215	Q004005
P467216	Q004006
P467217	Q004007
P467218	Q004008
P467219	Q004009
P467220	Q004010
P467221	Q004012
P467222	Q004013
P467223	Q004014
P467224	Q004015
P467225	Q004016
P467226	Q004017
P467227	Q004018
P467228	Q004019
P467229	Q004020
P467230	Q004021
P467231	Q004022
P467232	Q004023
P467233	Q004024
P467234	Q004025
P467235	Q004026
P467236	Q004027
P467237	Q004028
P467238	Q004029
P467239	Q004030
P467240	Q004031
P467241	Q004032
P467242	Q004033
P467243	Q004034
P467244	Q004035
P467245	Q004036
P467246	Q004037
P467247	Q004038
P467248	Q004057
P467249	Q004058
P467250	Q004059
P467251	Q004060
P467252	Q004061
P467253	Q004062
P467254	Q004063
P467255	Q004064
P467256	Q004065
P467257	Q004066
P467258	Q004067
P467259	Q004068
P467260	Q004069
P467261	Q004070
P467262	Q004071
P467263	Q004072
P467264	Q004073
P467265	Q004074
P467266	Q004075
P467267	Q004076
P467268	Q004077
P467269	Q004078
P467270	Q004079
P467271	Q004080
P467272	Q004081
P467273	Q004082
P467274	Q004088
P467275	Q004089
P468699	Q008891
P468875	Q003799
P468876	Q006239
P468877	Q006245
P468878	Q006244
P468879	Q006243
P468880	Q006242
P468881	Q006241
P468882	Q006240
P468903	Q000343
P469027	Q003855
P469028	Q006246
P469029	Q006247
P469030	Q006248
P469031	Q006249
P469032	Q006250
P469033	Q006252
P469034	Q006251
P469035	Q006253
P469036	Q006254
P469037	Q006255
P469038	Q006256
P469039	Q006257
P469040	Q006258
P469041	Q006259
P469042	Q006260
P469043	Q006261
P469044	Q006262
P469045	Q006263
P469046	Q006264
P469047	Q006265
P469048	Q006266
P469049	Q006267
P469050	Q006268
P469051	Q006269
P469052	Q006270
P469053	Q006271
P469054	Q006272
P469055	Q006275
P469056	Q006273
P469057	Q006274
P469058	Q006276
